시도,시군,업종,업소명,연락처,주소,메뉴1,가격1,메뉴2,가격2,메뉴3,가격3,메뉴4,가격4
서울특별시,종로구,양식,돈까스보라,02-741-3455,서울특별시 종로구 대학로5길 5 (연건동),수제 돈까스,7000,돈까스 정식,8000,,,,
서울특별시,종로구,한식,삼삼 뚝배기,02-765-4683,서울특별시 종로구 동숭길 51 (동숭동),된장뚝배기,7500,김치찌개,7500,,,,
서울특별시,종로구,기타요식업,약속커피숍,02-764-1100,서울특별시 종로구 종로 302 (창신동),맥심커피,2000,녹차,2000,,,,
서울특별시,종로구,미용업,영미용실,02-743-6052,서울특별시 종로구 지봉로 62 (숭인동),커트,8000,파마,20000,,,,
서울특별시,종로구,기타요식업,왕관커피숍,02-2266-8365,서울특별시 종로구 종로 222 (종로5가),커피,2000,국산차,2000,,,,
서울특별시,종로구,미용업,은미용실,02-738-1882,서울특별시 종로구 사직로 108-6 (내자동),커트,5000,파마,25000,,,,
서울특별시,종로구,이용업,이레이발관,,서울특별시 종로구 수표로 115(낙원동),커트,7000,염색,8000,,,,
서울특별시,종로구,미용업,이소빈 머리나라,02-766-0545,서울특별시 종로구 명륜길 9 (명륜3가),커트,10000,파마,25000,,,,
서울특별시,종로구,미용업,인터미용실,02-922-6363,서울특별시 종로구 숭인동길 46 (숭인동),커트,15000,파마,40000,,,,
서울특별시,종로구,이용업,종묘이용원,,서울특별시 종로구 종로 146(종로3가),커트,7000,염색,7000,,,,
서울특별시,종로구,이용업,파고다이용원,,서울특별시 종로구 종로17길 12 (종로2가),커트,6000,염색,6000,,,,
서울특별시,종로구,한식,전주콩나물국밥,02-738-8223,서울특별시 종로구 자하문로 3 (내자동),콩나물국밥,7000,순두부찌개,7000,,,,
서울특별시,종로구,한식,먹고갈래지고갈래,02-3673-1239,서울특별시 종로구 수표로 117 (낙원동),삼계탕,13000,산채비빔밥,7000,,,,
서울특별시,종로구,한식,수원성갈비,02-745-3576,서울특별시 종로구 창신3길 9 (창신동),돼지갈비(200g),14000,돼지갈비(250g)(포장),13000,소생왕갈비(250g),27000,,
서울특별시,종로구,기타비요식업,㈜추억을 파는 극장 (허리우드클래식),02-3672-4235,"서울특별시 종로구 삼일대로 428(낙원동, 4층)",영화입장권(경로),2000,,,,,,
서울특별시,종로구,한식,만족김치삼겹살,02-765-1298,서울특별시 종로구 종로53길 7-2,생고기김치찌개(점심),10000,김치삽겹살(180g),15000,,,,
